(-306.49,69.14)
(-305.78,69.55)
(-305.78,70.37)
(-305.07,69.96)
(-304.36,70.37)
(-304.36,69.55)
(-303.64,69.14)
(-302.93,69.55)
(-302.93,70.37)
(-302.22,69.96)
(-301.51,70.37)
(-301.51,71.19)
(-302.22,71.60)
(-301.51,72.02)
(-301.51,72.84)
(-302.22,73.25)
(-302.93,72.84)
(-302.93,73.66)
(-303.64,74.07)
(-302.93,74.49)
(-302.93,75.31)
(-302.22,74.90)
(-301.51,75.31)
(-301.51,76.13)
(-302.22,76.54)
(-301.51,76.95)
(-301.51,77.78)
(-300.79,77.37)
(-300.08,77.78)
(-300.08,76.95)
(-299.37,76.54)
(-298.65,76.95)
(-298.65,77.78)
(-297.94,77.37)
(-297.23,77.78)
(-297.23,76.95)
(-296.52,76.54)
(-297.23,76.13)
(-297.23,75.31)
(-296.52,74.90)
(-295.80,75.31)
(-295.80,74.49)
(-295.09,74.07)
(-294.38,74.49)
(-294.38,75.31)
(-293.66,74.90)
(-292.95,75.31)
(-292.95,76.13)
(-293.66,76.54)
(-292.95,76.95)
(-292.95,77.78)
(-292.24,77.37)
(-291.53,77.78)
(-291.53,76.95)
(-290.81,76.54)
(-290.10,76.95)
(-290.10,77.78)
(-289.39,77.37)
(-288.68,77.78)
(-288.68,78.60)
(-289.39,79.01)
(-288.68,79.42)
(-288.68,80.25)
(-289.39,80.66)
(-290.10,80.25)
(-290.10,81.07)
(-290.81,81.48)
(-290.10,81.89)
(-290.10,82.72)
(-289.39,82.30)
(-288.68,82.72)
(-288.68,83.54)
(-289.39,83.95)
(-288.68,84.36)
(-288.68,85.19)
(-289.39,85.60)
(-290.10,85.19)
(-290.10,86.01)
(-290.81,86.42)
(-291.53,86.01)
(-291.53,85.19)
(-292.24,85.60)
(-292.95,85.19)
(-292.95,86.01)
(-293.66,86.42)
(-292.95,86.83)
(-292.95,87.65)
(-293.66,88.07)
(-294.38,87.65)
(-294.38,88.48)
(-295.09,88.89)
(-294.38,89.30)
(-294.38,90.12)
(-293.66,89.71)
