(-340.07,9.14)
(-340.00,9.19)
(-340.00,9.28)
(-340.07,9.33)
(-340.00,9.37)
(-340.00,9.47)
(-340.07,9.51)
(-340.15,9.47)
(-340.15,9.56)
(-340.23,9.60)
(-340.31,9.56)
(-340.31,9.47)
(-340.39,9.51)
(-340.47,9.47)
(-340.47,9.56)
(-340.55,9.60)
(-340.47,9.65)
(-340.47,9.74)
(-340.55,9.79)
(-340.63,9.74)
(-340.63,9.83)
(-340.71,9.88)
(-340.63,9.92)
(-340.63,10.01)
(-340.55,9.97)
(-340.47,10.01)
(-340.47,10.11)
(-340.55,10.15)
(-340.47,10.20)
(-340.47,10.29)
(-340.39,10.24)
(-340.31,10.29)
(-340.31,10.20)
(-340.23,10.15)
(-340.15,10.20)
(-340.15,10.29)
(-340.07,10.24)
(-340.00,10.29)
(-340.00,10.38)
(-340.07,10.43)
(-340.00,10.47)
(-340.00,10.56)
(-340.07,10.61)
(-340.15,10.56)
(-340.15,10.65)
(-340.23,10.70)
(-340.15,10.75)
(-340.15,10.84)
(-340.07,10.79)
(-340.00,10.84)
(-340.00,10.93)
(-340.07,10.97)
(-340.00,11.02)
(-340.00,11.11)
(-339.92,11.07)
(-339.84,11.11)
(-339.84,11.02)
(-339.76,10.97)
(-339.68,11.02)
(-339.68,11.11)
(-339.60,11.07)
(-339.52,11.11)
(-339.52,11.02)
(-339.44,10.97)
(-339.52,10.93)
(-339.52,10.84)
(-339.44,10.79)
(-339.36,10.84)
(-339.36,10.75)
(-339.28,10.70)
(-339.20,10.75)
(-339.20,10.84)
(-339.12,10.79)
(-339.04,10.84)
(-339.04,10.93)
(-339.12,10.97)
(-339.04,11.02)
(-339.04,11.11)
(-338.97,11.07)
(-338.89,11.11)
(-338.89,11.02)
(-338.81,10.97)
(-338.73,11.02)
(-338.73,11.11)
(-338.65,11.07)
(-338.57,11.11)
(-338.57,11.02)
(-338.49,10.97)
(-338.57,10.93)
(-338.57,10.84)
(-338.49,10.79)
(-338.41,10.84)
(-338.41,10.75)
(-338.33,10.70)
(-338.41,10.65)
(-338.41,10.56)
(-338.49,10.61)
(-338.57,10.56)
(-338.57,10.47)
(-338.49,10.43)
(-338.57,10.38)
(-338.57,10.29)
(-338.49,10.24)
(-338.41,10.29)
(-338.41,10.20)
(-338.33,10.15)
(-338.25,10.20)
(-338.25,10.29)
(-338.17,10.24)
(-338.09,10.29)
(-338.09,10.20)
(-338.02,10.15)
(-338.09,10.11)
(-338.09,10.01)
(-338.02,9.97)
(-337.94,10.01)
(-337.94,9.92)
(-337.86,9.88)
(-337.78,9.92)
(-337.78,10.01)
(-337.70,9.97)
(-337.62,10.01)
(-337.62,10.11)
(-337.70,10.15)
(-337.62,10.20)
(-337.62,10.29)
(-337.54,10.24)
(-337.46,10.29)
(-337.46,10.20)
(-337.38,10.15)
(-337.30,10.20)
(-337.30,10.29)
(-337.22,10.24)
(-337.14,10.29)
